Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Bulbasaur,Bulbasaur (151 1),[],Basic,,,70,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Leech Seed', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': 'Heal 20 damage from this Pokémon.'}]",001/165,G,Common
Ivysaur,Ivysaur (151 2),[],Stage 1,Bulbasaur,,100,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Leech Seed', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': 'Heal 20 damage from this Pokémon.'}, {'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Vine Whip', 'Move Damage': '80', 'Move Damage Modifier': None, 'Move Effect': ''}]",002/165,G,Uncommon
Venusaur-ex,Venusaur ex (151 3),['ex'],Stage 2,Ivysaur,"{'Ability Name': 'Tranquil Flower', 'Ability Desc': 'Once during your turn, if this Pokémon is in the Active Spot, you may heal 60 damage from 1 of your Pokémon.'}",340,Grass,Fire,,4,"[{'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Dangerous Toxwhip create category\n', 'Move Damage': '150', 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Confused and Poisoned.""}]",003/165,G,Double Rare
Charmander,Charmander (151 4),[],Basic,,,70,Fire,Water,,1,"[{'Move Cost': {'Fire': 1}, 'Move Name': 'Blazing Destruction', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Discard a Stadium in play.'}, {'Move Cost': {'Fire': 2}, 'Move Name': 'Steady Firebreathing', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",004/165,G,Common
Charmeleon,Charmeleon (151 5),[],Stage 1,Charmander,,100,Fire,Water,,2,"[{'Move Cost': {'Fire': 1}, 'Move Name': 'Combustion', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Fire': 3}, 'Move Name': 'Fire Blast', 'Move Damage': '90', 'Move Damage Modifier': None, 'Move Effect': 'Discard an Energy from this Pokémon.'}]",005/165,G,Uncommon
Charizard-ex,Charizard ex (151 6),['ex'],Stage 2,Charmeleon,,330,Fire,Water,,2,"[{'Move Cost': {'Fire': 1}, 'Move Name': 'Brave Wing', 'Move Damage': '60', 'Move Damage Modifier': ('add', '60'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'If this Pokémon has any damage counters on it, this attack does 100 more damage.'}, {'Move Cost': {'Fire': 4}, 'Move Name': 'Explosive Vortex', 'Move Damage': '330', 'Move Damage Modifier': None, 'Move Effect': 'Discard 3 Energy from this Pokémon.'}]",006/165,G,Double Rare
Squirtle,Squirtle (151 7),[],Basic,,,60,Water,Lightning,,1,"[{'Move Cost': {'Water': 1}, 'Move Name': 'Withdraw', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks.""}, {'Move Cost': {'Water': 2}, 'Move Name': 'Skull Bash', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",007/165,G,Common
Wartortle,Wartortle (151 8),[],Stage 1,Squirtle,,100,Water,Lightning,,2,"[{'Move Cost': {'Water': 1}, 'Move Name': 'Free Diving create category\n', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Put up to 3 Basic  Energy cards from your discard pile into your hand.'}, {'Move Cost': {'Water': 2}, 'Move Name': 'Spinning Attack', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",008/165,G,Uncommon
Blastoise-ex,Blastoise ex (151 9),['ex'],Stage 2,Wartortle,"{'Ability Name': 'Solid Shell', 'Ability Desc': 'This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).'}",330,Water,Lightning,,3,"[{'Move Cost': {'Water': 2}, 'Move Name': 'Twin Cannons', 'Move Damage': '140', 'Move Damage Modifier': ('multiply', '140'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Discard up to 2 Basic  Energy cards from your hand. This attack does 140 damage for each card you discarded in this way.'}]",009/165,G,Double Rare
Caterpie,Caterpie (151 10),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Leaf Munch', 'Move Damage': '10', 'Move Damage Modifier': ('add', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""If your opponent's Active Pokémon is a  Pokémon, this attack does 30 more damage.""}]",010/165,G,Common
Metapod,Metapod (151 11),[],Stage 1,Caterpie,,90,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Tackle', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Defensive Posture', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks.""}]",011/165,G,Common
Butterfree,Butterfree (151 12),[],Stage 2,Metapod,,130,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Whirlwind', 'Move Damage': '60', 'Move Damage Modifier': None, 'Move Effect': ""Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)""}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'ByeBye Flight', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Choose 1 of your opponent's Benched Pokémon. Shuffle that Pokémon and all attached cards into their deck, and then shuffle this Pokémon and all attached cards into your deck. If your opponent has no Benched Pokémon, this attack does nothing.""}]",012/165,G,Uncommon
Weedle,Weedle (151 13),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Ram', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Bug Bite', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",013/165,G,Common
Kakuna,Kakuna (151 14),[],Stage 1,Weedle,"{'Ability Name': 'Cocoon Cover', 'Ability Desc': ""Prevent all effects of attacks used by your opponent's Pokémon done to this Pokémon. (Damage is not an effect.)""}",80,Grass,Fire,,3,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Zzzt', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",014/165,G,Common
Beedrill,Beedrill (151 15),[],Stage 2,Kakuna,,130,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Nadir Needle', 'Move Damage': '30', 'Move Damage Modifier': ('add', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""If you have no cards in your hand, this attack does 120 more damage, and your opponent's Active Pokémon is now Paralyzed and Poisoned.""}, {'Move Cost': {'Grass': 2}, 'Move Name': 'Pierce', 'Move Damage': '110', 'Move Damage Modifier': None, 'Move Effect': ''}]",015/165,G,Rare
Pidgey,Pidgey (151 16),[],Basic,,,50,Colorless,Lightning,Fighting,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Call for Family', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.'}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Tackle', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",016/165,G,Common
Pidgeotto,Pidgeotto (151 17),[],Stage 1,Pidgey,,80,Colorless,Lightning,Fighting,0,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Flap', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",017/165,G,Common
Pidgeot,Pidgeot (151 18),[],Stage 2,Pidgeotto,,130,Colorless,Lightning,Fighting,0,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Flap', 'Move Damage': '40', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Colorless': 3}, 'Move Name': 'Fly', 'Move Damage': '150', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If tails, this attack does nothing. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.""}]",018/165,G,Uncommon
Rattata,Rattata (151 19),[],Basic,,,40,Colorless,Fighting,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Gnaw the Wound create category\n', 'Move Damage': '20', 'Move Damage Modifier': ('add', '20'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.""}]",019/165,G,Common
Raticate,Raticate (151 20),[],Stage 1,Rattata,,70,Colorless,Fighting,,0,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Second Bite', 'Move Damage': '30', 'Move Damage Modifier': ('add', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""This attack does 30 more damage for each damage counter on your opponent's Active Pokémon.""}]",020/165,G,Uncommon
Spearow,Spearow (151 21),[],Basic,,"{'Ability Name': 'Evolutionary Advantage', 'Ability Desc': 'If you go second, this Pokémon can evolve during your first turn.'}",50,Colorless,Lightning,Fighting,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Speed Dive', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}]",021/165,G,Common
Fearow,Fearow (151 22),[],Stage 1,Spearow,,90,Colorless,Lightning,Fighting,0,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Beak Catch', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.'}, {'Move Cost': {'Colorless': 1}, 'Move Name': 'Speed Dive', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",022/165,G,Uncommon
Ekans,Ekans (151 23),[],Basic,,,70,Darkness,Fighting,,2,"[{'Move Cost': {'Darkness': 2}, 'Move Name': 'Acid Spray', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.""}]",023/165,G,Common
Arbok-ex,Arbok ex (151 24),['ex'],Stage 1,Ekans,,270,Darkness,Fighting,,2,"[{'Move Cost': {'Darkness': 2}, 'Move Name': 'Bind Down', 'Move Damage': '70', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, the Defending Pokémon can't retreat.""}, {'Move Cost': {'Darkness': 3}, 'Move Name': 'Menacing Fangs', 'Move Damage': '150', 'Move Damage Modifier': None, 'Move Effect': 'Your opponent discards 2 cards from their hand.'}]",024/165,G,Double Rare
Pikachu,Pikachu (151 25),[],Basic,,,60,Lightning,Fighting,,1,"[{'Move Cost': {'Lightning': 1}, 'Move Name': 'Charge', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for a Basic  Energy card and attach it to this Pokémon. Then, shuffle your deck.'}, {'Move Cost': {'Lightning': 2, 'Colorless': 1}, 'Move Name': 'Pika Punch', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",025/165,G,Common
Raichu,Raichu (151 26),[],Stage 1,Pikachu,"{'Ability Name': 'Electrical Grounding', 'Ability Desc': ""When 1 of your Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, you may move a  Energy from that Pokémon to this Pokémon.""}",120,Lightning,Fighting,,1,"[{'Move Cost': {'Lightning': 2, 'Colorless': 1}, 'Move Name': 'Thunder', 'Move Damage': '180', 'Move Damage Modifier': None, 'Move Effect': 'This Pokemon also does 50 damage to itself.'}]",026/165,G,Rare
Sandshrew,Sandshrew (151 27),[],Basic,,"{'Ability Name': 'Sand Screen', 'Ability Desc': ""Trainer cards in your opponent's discard pile can't be put into their deck by an effect of your opponent's Item or Supporter cards.""}",60,Fighting,Grass,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Scratch', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",027/165,G,Common
Sandslash,Sandslash (151 28),[],Stage 1,Sandshrew,,120,Fighting,Grass,,2,"[{'Move Cost': {'Fighting': 1}, 'Move Name': 'Rumble', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, the Defending Pokémon can't retreat.""}, {'Move Cost': {'Fighting': 1, 'Colorless': 2}, 'Move Name': 'Spike Rend', 'Move Damage': '80', 'Move Damage Modifier': ('add', '80'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""If your opponent's Active Pokémon already has any damage counters on it, this attack does 100 more damage.""}]",028/165,G,Uncommon
Nidoran-F,Nidoran-F (151 29),[],Basic,,,60,Darkness,Fighting,,1,"[{'Move Cost': {'Darkness': 1, 'Colorless': 1}, 'Move Name': 'Poison Horn', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Poisoned.""}]",029/165,G,Common
Nidorina,Nidorina (151 30),[],Stage 1,Nidoran-F,,90,Darkness,Fighting,,2,"[{'Move Cost': {'Darkness': 1}, 'Move Name': 'Fetch Family create category\n', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for up to 3 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.'}, {'Move Cost': {'Darkness': 1, 'Colorless': 1}, 'Move Name': 'Sharp Fang', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",030/165,G,Uncommon
Nidoqueen,Nidoqueen (151 31),[],Stage 2,Nidorina,,170,Darkness,Fighting,,3,"[{'Move Cost': {'Darkness': 1, 'Colorless': 1}, 'Move Name': 'Queen Press create category\n', 'Move Damage': '90', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon.""}, {'Move Cost': {'Darkness': 2, 'Colorless': 1}, 'Move Name': 'Lunge Out', 'Move Damage': '160', 'Move Damage Modifier': None, 'Move Effect': ''}]",031/165,G,Uncommon
Nidoran-M,Nidoran-M (151 32),[],Basic,,,60,Darkness,Fighting,,1,"[{'Move Cost': {'Darkness': 1}, 'Move Name': 'Horn Attack', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",032/165,G,Common
Nidorino,Nidorino (151 33),[],Stage 1,Nidoran-M,,90,Darkness,Fighting,,2,"[{'Move Cost': {'Darkness': 1}, 'Move Name': 'Sharp Fang', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Darkness': 2, 'Colorless': 1}, 'Move Name': 'Superpowered Horns', 'Move Damage': '100', 'Move Damage Modifier': None, 'Move Effect': ''}]",033/165,G,Uncommon
Nidoking,Nidoking (151 34),[],Stage 2,Nidorino,"{'Ability Name': 'Enthusiastic King', 'Ability Desc': 'If you have Nidoqueen in play, ignore all Energy in the costs of attacks used by this Pokémon.'}",170,Darkness,Fighting,,3,"[{'Move Cost': {'Darkness': 2, 'Colorless': 2}, 'Move Name': 'Venomous Impact create category\n', 'Move Damage': '190', 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Poisoned.""}]",034/165,G,Rare
