Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Beedrill-V,Beedrill V (Astral Radiance 1),['V'],Basic,,,210,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Twineedle', 'Move Damage': '40', 'Move Damage Modifier': ('multiply', '40'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip 2 coins. This attack does 40 damage for each heads.'}, {'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Swarming Sting', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""This attack does 50 damage to 1 of your opponent's Pokémon for each of your Beedrill V in play. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",001/189,F,Ultra-Rare Rare
Hisuian Voltorb,Hisuian Voltorb (Astral Radiance 2),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {}, 'Move Name': 'Cheerful Charge', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'You can use this attack only if you go second, and only during your first turn. Choose up to 2 of your Benched Pokémon. For each of those Pokémon, search your deck for a basic Energy card and attach it to that Pokémon. Then, shuffle your deck.'}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Ram', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}]",002/189,F,Common
Hisuian Electrode,Hisuian Electrode (Astral Radiance 3),[],Stage 1,Hisuian Voltorb,,90,Grass,Fire,,1,"[{'Move Cost': {}, 'Move Name': 'Triple Draw', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Draw 3 cards.'}, {'Move Cost': {}, 'Move Name': 'Irritated Bomb', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",003/189,F,Uncommon
Scyther,Scyther (Astral Radiance 4),[],Basic,,,90,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Blinding Scythe', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",004/189,F,Common
Scyther,Scyther (Astral Radiance 5),[],Basic,,,80,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Quick Blow', 'Move Damage': '30', 'Move Damage Modifier': ('add', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip a coin. If heads, this attack does 30 more damage.'}]",005/189,F,Common
Yanma,Yanma (Astral Radiance 6),[],Basic,,,60,Grass,Fire,,0,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Speed Dive', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",006/189,F,Common
Yanmega,Yanmega (Astral Radiance 7),[],Stage 1,Yanma,,120,Grass,Fire,,0,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Razor Wing', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Wide Wing', 'Move Damage': '40', 'Move Damage Modifier': ('add', '40'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'If you have more cards in your hand than your opponent, this attack does 80 more damage.'}]",007/189,F,Uncommon
Heracross,Heracross (Astral Radiance 8),[],Basic,,,110,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Horn Attack', 'Move Damage': '40', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Overhead Throw', 'Move Damage': '120', 'Move Damage Modifier': None, 'Move Effect': ""This attack also does 30 damage to 1 of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",008/189,F,Common
Kricketot,Kricketot (Astral Radiance 9),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Trip Over', 'Move Damage': '10', 'Move Damage Modifier': ('add', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip a coin. If heads, this attack does 20 more damage.'}]",009/189,F,Common
Kricketune,Kricketune (Astral Radiance 10),[],Stage 1,Kricketot,"{'Ability Name': 'Swelling Tune', 'Ability Desc': ""Your  Pokémon in play, except any Kricketune, get +40 HP. You can't apply more than 1 Swelling Tune Ability at a time.""}",90,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Slash', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",010/189,F,Uncommon
Combee,Combee (Astral Radiance 11),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Honey Courier', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck.'}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Bug Bite', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",011/189,F,Common
Vespiquen,Vespiquen (Astral Radiance 12),[],Stage 1,Combee,,120,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Honey Rush', 'Move Damage': '60', 'Move Damage Modifier': ('multiply', '60'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Reveal any number of Sweet Honey cards from your hand. This attack does 60 damage for each card you revealed in this way.'}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Pierce', 'Move Damage': '90', 'Move Damage Modifier': None, 'Move Effect': ''}]",012/189,F,Rare
Leafeon,Leafeon (Astral Radiance 13),[],Stage 1,Eevee,,110,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Energy Garden', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for up to 3 basic Energy cards of different types and attach them to your Pokémon in any way you like. Then, shuffle your deck.'}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Leafy Cyclone', 'Move Damage': '120', 'Move Damage Modifier': None, 'Move Effect': ""During your next turn, this Pokémon can't attack.""}]",013/189,F,Rare
Shaymin,Shaymin (Astral Radiance 14),[],Basic,,,70,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Encouraging Gift', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'You can use this attack only if you go second, and only during your first turn. Search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.'}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Flop', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",014/189,F,Rare
Petilil,Petilil (Astral Radiance 15),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Spin Turn', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': 'Switch this Pokémon with 1 of your Benched Pokémon.'}]",015/189,F,Common
Hisuian Lilligant,Hisuian Lilligant (Astral Radiance 16),[],Stage 1,Petilil,,110,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Twister Lutz', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""This attack does 20 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Switch this Pokémon with 1 of your Benched Pokémon.""}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Leaf Step', 'Move Damage': '100', 'Move Damage Modifier': None, 'Move Effect': ''}]",016/189,F,Rare Holo
