Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Oddish,Oddish (Crown Zenith 1),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Leaf Boomerang', 'Move Damage': '10', 'Move Damage Modifier': ('multiply', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip 2 coins. This attack does 10 damage for each heads.'}]",001/159,F,Common
Gloom,Gloom (Crown Zenith 2),[],Stage 1,Oddish,,70,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Offensive Scent', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Confused and Poisoned.""}]",002/159,F,Uncommon
Bellossom,Bellossom (Crown Zenith 3),[],Stage 2,Gloom,,120,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Flower Spin', 'Move Damage': '80', 'Move Damage Modifier': ('multiply', '80'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip 3 coins. This attack does 80 damage for each heads. Switch this Pokémon with 1 of your Benched Pokémon.'}]",003/159,F,Rare
Tangela,Tangela (Crown Zenith 4),[],Basic,,,80,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Beat', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Vine Whip', 'Move Damage': '60', 'Move Damage Modifier': None, 'Move Effect': ''}]",004/159,F,Common
Tangrowth,Tangrowth (Crown Zenith 5),[],Stage 1,Tangela,,150,Grass,Fire,,4,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Suctioning Vines', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': 'Heal 30 damage from this Pokémon.'}, {'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Hammer In', 'Move Damage': '130', 'Move Damage Modifier': None, 'Move Effect': ''}]",005/159,F,Rare
Scyther,Scyther (Crown Zenith 6),[],Basic,,,80,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Mach Cut', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ""Discard a Special Energy from your opponent's Active Pokémon.""}]",006/159,F,Common
Sunkern,Sunkern (Silver Tempest 5),[],Basic,,,40,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Seed Bomb', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",007/159,F,Common
Yanma,Yanma (Crown Zenith 8),[],Basic,,,70,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Swoop Across', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {'Move Cost': {'Colorless': 3}, 'Move Name': 'Cutting Wind', 'Move Damage': '70', 'Move Damage Modifier': None, 'Move Effect': ''}]",008/159,F,Common
Yanmega,Yanmega (Crown Zenith 9),[],Stage 1,Yanma,,130,Grass,Fire,,0,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Shoot Through', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ""This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Jet Wing', 'Move Damage': '160', 'Move Damage Modifier': None, 'Move Effect': ""During your next turn, this Pokémon can't attack.""}]",009/159,F,Rare
Kricketot,Kricketot (Astral Radiance 9),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Trip Over', 'Move Damage': '10', 'Move Damage Modifier': ('add', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip a coin. If heads, this attack does 20 more damage.'}]",010/159,F,Common
