Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Oddish,Oddish (Lost Origin 1),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Ram', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",001/196,F,Common
Gloom,Gloom (Lost Origin 2),[],Stage 1,Oddish,,80,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Absorb', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': 'Heal 30 damage from this Pokémon.'}]",002/196,F,Uncommon
Vileplume,Vileplume (Lost Origin 3),[],Stage 2,Gloom,,150,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Mega Drain', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': 'Heal 30 damage from this Pokémon.'}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Allergy Storm', 'Move Damage': '90', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, during your opponent's next turn, they can't play any Supporter cards from their hand. If tails, during your opponent's next turn, they can't play any Item cards from their hand.""}]",003/196,F,Rare Holo
Paras,Paras (Lost Origin 4),[],Basic,,,70,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Absorb', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': 'Heal 10 damage from this Pokémon.'}]",004/196,F,Common
Parasect,Parasect (Lost Origin 5),[],Stage 1,Paras,"{'Ability Name': 'Lethargy Spores', 'Ability Desc': 'When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may make both Active Pokémon Asleep and Poisoned.'}",120,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'XScissor', 'Move Damage': '50', 'Move Damage Modifier': ('add', '50'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip a coin. If heads, this attack does 50 more damage.'}]",005/196,F,Rare
Wurmple,Wurmple (Lost Origin 6),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Sting', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 3}, 'Move Name': 'CreepyCrawly Congregation', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for any number of Wurmple, Silcoon, Beautifly, Cascoon, and Dustox, reveal them, and put them into your hand. Then, shuffle your deck.'}]",006/196,F,Common
Silcoon,Silcoon (Lost Origin 7),[],Stage 1,Wurmple,,80,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Entangling String create category\n', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, during your opponent's next turn, the Defending Pokémon can't attack.""}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Ram', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",007/196,F,Uncommon
Beautifly,Beautifly (Lost Origin 8),[],Stage 2,Silcoon,"{'Ability Name': 'Stoked Straw', 'Ability Desc': 'Once during your turn, you may draw cards until you have 6 cards in your hand.'}",130,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Mega Drain', 'Move Damage': '70', 'Move Damage Modifier': None, 'Move Effect': 'Heal 30 damage from this Pokémon.'}]",008/196,F,Rare Holo
Cascoon,Cascoon (Lost Origin 9),[],Stage 1,Wurmple,,80,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Harden', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, prevent all damage done to this Pokémon by attacks if that damage is 60 or less.""}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Rolling Tackle', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",009/196,F,Uncommon
Dustox,Dustox (Lost Origin 10),[],Stage 2,Cascoon,,140,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Nadir Powder', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Confused and Poisoned. During Pokémon Checkup, put 8 damage counters on that Pokémon instead of 1.""}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Cutting Wind', 'Move Damage': '110', 'Move Damage Modifier': None, 'Move Effect': ''}]",010/196,F,Rare
Seedot,Seedot (Lost Origin 11),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Absorb', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': 'Heal 10 damage from this Pokémon.'}]",011/196,F,Common
Nuzleaf,Nuzleaf (Lost Origin 12),[],Stage 1,Seedot,,80,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Push Down', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': 'You may have your opponent switch their Active Pokémon with 1 of their Benched Pokémon.'}]",012/196,F,Uncommon
Shiftry,Shiftry (Lost Origin 13),[],Stage 2,Nuzleaf,,160,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Fan Tornado create category\n', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': 'You may have your opponent switch their Active Pokémon with 1 of their Benched Pokémon.'}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Tearing Gust create category\n', 'Move Damage': '210', 'Move Damage Modifier': None, 'Move Effect': 'Put this Pokémon and all attached cards in the Lost Zone.'}]",013/196,F,Rare Holo
Roselia,Roselia (Lost Origin 14),[],Basic,,,70,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Soothing Scent', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Asleep.""}]",014/196,F,Common
