Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Oddish,Oddish (Obsidian Flames 1),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Feelin Fine', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Draw a card.'}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Stampede', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}]",001/197,G,Common
Gloom,Gloom (Obsidian Flames 2),[],Stage 1,Oddish,,80,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Inviting Scent', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Switch in 1 of your opponent's Benched Pokémon to the Active Spot.""}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Leaf Step', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",002/197,G,Common
Bellossom,Bellossom (Obsidian Flames 3),[],Stage 2,Gloom,,130,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Sleep Powder', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Asleep.""}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Powerful Dance', 'Move Damage': '90', 'Move Damage Modifier': ('multiply', '90'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip a coin for each Energy attached to this Pokémon. This attack does 90 damage for each heads.'}]",003/197,G,Uncommon
Scyther,Scyther (Obsidian Flames 4),[],Basic,,,80,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Agility', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.""}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Cut', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",004/197,G,Common
Shuckle,Shuckle (Obsidian Flames 5),[],Basic,,,80,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Berry Scent', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.'}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Guard Press', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}]",005/197,G,Common
Surskit,Surskit (Obsidian Flames 6),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Lunge', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': 'Flip a coin. If tails, this attack does nothing.'}]",006/197,G,Common
Masquerain,Masquerain (Obsidian Flames 7),[],Stage 1,Surskit,,100,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'PanicPrompting Pattern create category\n', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin until you get tails. For each heads, discard a random card from your opponent's hand.""}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Bug Buzz', 'Move Damage': '70', 'Move Damage Modifier': None, 'Move Effect': ''}]",007/197,G,Uncommon
Combee,Combee (Obsidian Flames 8),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Share', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Heal 20 damage from 1 of your Benched Pokémon.'}, {'Move Cost': {'Grass': 2}, 'Move Name': 'Ram', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",008/197,G,Common
Foongus,Foongus (Obsidian Flames 9),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Enticing Pattern', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for a Basic  Pokémon and put it onto your Bench. Then, shuffle your deck.'}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Beat', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",009/197,G,Common
Amoonguss,Amoonguss (Obsidian Flames 10),[],Stage 1,Foongus,,110,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Dangerous Spores', 'Move Damage': '60', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned.""}]",010/197,G,Uncommon
