Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Hoppip,Hoppip (Paldea Evolved 1),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Splashing Dodge', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.""}]",001/193,G,Common
Skiploom,Skiploom (Paldea Evolved 2),[],Stage 1,Hoppip,"{'Ability Name': 'Drifting Dodge', 'Ability Desc': 'If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.'}",70,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Flowery Zephyr', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ""This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",002/193,G,Uncommon
Jumpluff,Jumpluff (Paldea Evolved 3),[],Stage 2,Skiploom,"{'Ability Name': 'Drifting Dodge', 'Ability Desc': 'If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.'}",90,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Fluffy Breeze', 'Move Damage': '60', 'Move Damage Modifier': None, 'Move Effect': ""This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",003/193,G,Rare
Pineco,Pineco (Paldea Evolved 4),[],Basic,,,70,Grass,Fire,,2,"[{'Move Cost': {'Grass': 2}, 'Move Name': 'Rollout', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",004/193,G,Common
Forretress-ex,Forretress ex (Paldea Evolved 5),['ex'],Stage 1,Pineco,"{'Ability Name': 'Exploding Energy', 'Ability Desc': 'Once during your turn, you may search your deck for up to 5 Basic  Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck. If you searched your deck in this way, this Pokémon is Knocked Out.'}",270,Grass,Fire,,3,"[{'Move Cost': {'Grass': 2}, 'Move Name': 'Guard Press', 'Move Damage': '120', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}]",005/193,G,Double Rare
Heracross,Heracross (Paldea Evolved 6),[],Basic,,,130,Grass,Fire,,3,"[{'Move Cost': {'Grass': 2}, 'Move Name': 'Tackle', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 3}, 'Move Name': 'Smashing Horn', 'Move Damage': '110', 'Move Damage Modifier': None, 'Move Effect': ""This attack's damage isn't affected by Resistance.""}]",006/193,G,Uncommon
Tropius,Tropius (Paldea Evolved 7),[],Basic,,,110,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Leaf Drain', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': 'Heal 20 damage from this Pokémon.'}, {'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Tropic Breeze', 'Move Damage': '130', 'Move Damage Modifier': None, 'Move Effect': 'Move all Energy from this Pokémon to 1 of your Benched Pokémon.'}]",007/193,G,Common
Combee,Combee (Paldea Evolved 8),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Double Spin', 'Move Damage': '10', 'Move Damage Modifier': ('multiply', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip 2 coins. This attack does 10 damage for each heads.'}]",008/193,G,Common
Vespiquen,Vespiquen (Paldea Evolved 9),[],Stage 1,Combee,,120,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Double Stab', 'Move Damage': '30', 'Move Damage Modifier': ('multiply', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip 2 coins. This attack does 30 damage for each heads.'}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Order a Raid', 'Move Damage': '120', 'Move Damage Modifier': None, 'Move Effect': ""Choose 1 of your Benched Combee and shuffle that Pokémon and all attached cards into your deck. If you can't shuffle a Combee into your deck, this attack does nothing.""}]",009/193,G,Uncommon
Snover,Snover (Paldea Evolved 10),[],Basic,,,90,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Corkscrew Punch', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",010/193,G,Common
Abomasnow,Abomasnow (Paldea Evolved 11),[],Stage 1,Snover,"{'Ability Name': 'Freezing Disaster', 'Ability Desc': ""Pokémon (both yours and your opponent's) can't be healed.""}",150,Grass,Fire,,3,"[{'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Magnum Punch', 'Move Damage': '110', 'Move Damage Modifier': None, 'Move Effect': ''}]",011/193,G,Rare
Sprigatito,Sprigatito (Paldea Evolved 12),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Gather Sunlight', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.'}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Seed Bomb', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}]",012/193,G,Common
Sprigatito,Sprigatito (Paldea Evolved 13),[],Basic,,,70,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Dig Claws', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",013/193,G,Common
Floragato,Floragato (Paldea Evolved 14),[],Stage 1,Sprigatito,,90,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Seed Bomb', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Magic Whip', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ""Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)""}]",014/193,G,Uncommon
Meowscarada-ex,Meowscarada ex (Paldea Evolved 15),['ex'],Stage 2,Floragato,"{'Ability Name': 'Bouquet Magic', 'Ability Desc': ""You must discard a Basic  Energy card from your hand in order to use this Ability. Once during your turn, you may put 3 damage counters on 1 of your opponent's Benched Pokémon.""}",310,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Scratching Nails', 'Move Damage': '100', 'Move Damage Modifier': ('add', '100'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""If your opponent's Active Pokémon already has any damage counters on it, this attack does 120 more damage.""}]",015/193,G,Double Rare
Tarountula,Tarountula (Paldea Evolved 16),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Bind Down', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, the Defending Pokémon can't retreat.""}]",016/193,G,Common
Tarountula,Tarountula (Paldea Evolved 17),[],Basic,,,60,Grass,Fire,,2,"[{'Move Cost': {'Grass': 2}, 'Move Name': 'Hook', 'Move Damage': '40', 'Move Damage Modifier': None, 'Move Effect': ''}]",017/193,G,Common
Spidops,Spidops (Paldea Evolved 18),[],Stage 1,Tarountula,,110,Grass,Fire,,2,"[{'Move Cost': {'Grass': 2}, 'Move Name': 'Entangling Trap', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Shuffle each player's Active Pokémon and all attached cards into their deck. (You choose a new Active Pokémon first.)""}, {'Move Cost': {'Grass': 3}, 'Move Name': 'Hammer In', 'Move Damage': '130', 'Move Damage Modifier': None, 'Move Effect': ''}]",018/193,G,Uncommon
Nymble,Nymble (Paldea Evolved 19),[],Basic,,,40,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Slight Splash', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.""}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Bug Bite', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}]",019/193,G,Common
Nymble,Nymble (Paldea Evolved 20),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Wild Kick', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': 'Flip a coin. If tails, this attack does nothing.'}]",020/193,G,Common
Lokix,Lokix (Paldea Evolved 21),[],Stage 1,Nymble,,120,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Assaulting Kick', 'Move Damage': '30', 'Move Damage Modifier': ('add', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'If this Pokémon evolved from Nymble during this turn, this attack does 100 more damage.'}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Speed Attack', 'Move Damage': '70', 'Move Damage Modifier': None, 'Move Effect': ''}]",021/193,G,Rare
Bramblin,Bramblin (Paldea Evolved 22),[],Basic,,,40,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Ride the Wind', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': 'Flip a coin. If heads, switch this Pokémon with 1 of your Benched Pokémon.'}]",022/193,G,Common
Bramblin,Bramblin (Paldea Evolved 23),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Blot', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': 'Heal 10 damage from this Pokémon.'}]",023/193,G,Common
Brambleghast,Brambleghast (Paldea Evolved 24),[],Stage 1,Bramblin,,100,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Absorb Life', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': 'Heal 30 damage from this Pokémon.'}, {'Move Cost': {'Colorless': 3}, 'Move Name': 'Dead Wood Detention', 'Move Damage': '80', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, attacks that the Defending Pokémon uses cost  more.""}]",024/193,G,Uncommon
Rellor,Rellor (Paldea Evolved 25),[],Basic,,,40,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Bug Bite', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}]",025/193,G,Common
Rellor,Rellor (Paldea Evolved 26),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Ball Roll', 'Move Damage': '30', 'Move Damage Modifier': ('multiply', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip a coin until you get tails. This attack does 30 damage for each heads.'}]",026/193,G,Common
Wo-Chien-ex,Wo-Chien ex (Paldea Evolved 27),['ex'],Basic,,,230,Grass,Fire,,4,"[{'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Covetous Ivy', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""This attack does 60 damage to 1 of your opponent's Benched Pokémon for each Prize card your opponent has taken. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {'Move Cost': {'Grass': 3, 'Colorless': 1}, 'Move Name': 'Forest Blast', 'Move Damage': '220', 'Move Damage Modifier': None, 'Move Effect': ''}]",027/193,G,Double Rare
Paldean Tauros,Paldean Tauros (Paldea Evolved 28),[],Basic,,,130,Fire,Water,,2,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Raging Horns', 'Move Damage': '20', 'Move Damage Modifier': ('add', '20'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'This attack does 10 more damage for each damage counter on this Pokémon.'}, {'Move Cost': {'Fire': 2, 'Colorless': 1}, 'Move Name': 'Blaze Dash', 'Move Damage': '120', 'Move Damage Modifier': None, 'Move Effect': 'Discard an Energy from this Pokémon.'}]",028/193,G,Uncommon
Fletchinder,Fletchinder (Paldea Evolved 29),[],Stage 1,Fletchling,,80,Fire,Lightning,Fighting,1,"[{'Move Cost': {'Fire': 1}, 'Move Name': 'Heat Dive', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': 'This Pokémon also does 10 damage to itself.'}]",029/193,G,Uncommon
