Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Pineco,Pineco (Paldea Evolved 4),[],Basic,,,70,Grass,Fire,,2,"[{'Move Cost': {'Grass': 2}, 'Move Name': 'Rollout', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",001/091,G,Common
Forretress-ex,Forretress ex (Paldea Evolved 5),['ex'],Stage 1,Pineco,"{'Ability Name': 'Exploding Energy', 'Ability Desc': 'Once during your turn, you may search your deck for up to 5 Basic  Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck. If you searched your deck in this way, this Pokémon is Knocked Out.'}",270,Grass,Fire,,3,"[{'Move Cost': {'Grass': 2}, 'Move Name': 'Guard Press', 'Move Damage': '120', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}]",002/091,G,Double Rare
Maractus,Maractus (Paldean Fates 3),[],Basic,,,110,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Double Draw', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Draw 2 cards.'}, {'Move Cost': {'Colorless': 3}, 'Move Name': 'Pin Missile', 'Move Damage': '30', 'Move Damage Modifier': ('multiply', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip 4 coins. This attack does 30 damage for each heads.'}]",003/091,G,Common
Toedscool,Toedscool (Scarlet & Violet 24),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Furious Kicks', 'Move Damage': '10', 'Move Damage Modifier': ('multiply', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip 3 coins. This attack does 10 damage for each heads.'}]",004/091,G,Common
Toedscruel-ex,Toedscruel ex (Obsidian Flames 22),['ex'],Stage 1,Toedscool,"{'Ability Name': 'Protective Mycelium', 'Ability Desc': ""Prevent all effects of attacks used by your opponent's Pokémon done to all of your Pokémon that have Energy attached. (Existing effects are not removed. Damage is not an effect.)""}",270,Grass,Fire,,2,"[{'Move Cost': {'Grass': 2}, 'Move Name': 'Colony Rush', 'Move Damage': '80', 'Move Damage Modifier': ('add', '80'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'This attack does 40 more damage for each of your Benched Pokémon that has any  Energy attached.'}]",005/091,G,Double Rare
Espathra-ex,Espathra ex (Paldean Fates 6),['ex'],Stage 1,Flittle,"{'Ability Name': 'Dazzling Gaze', 'Ability Desc': ""As long as this Pokémon is in the Active Spot, attacks used by your opponent's Active Pokémon cost  more.""}",260,Grass,Fire,,1,"[{'Move Cost': {'Psychic': 1}, 'Move Name': 'Psy Ball', 'Move Damage': '30', 'Move Damage Modifier': ('add', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'This attack does 30 more damage for each Energy attached to both Active Pokémon.'}]",006/091,G,Double Rare
Charmander,Charmander (151 4),[],Basic,,,70,Fire,Water,,1,"[{'Move Cost': {'Fire': 1}, 'Move Name': 'Blazing Destruction', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Discard a Stadium in play.'}, {'Move Cost': {'Fire': 2}, 'Move Name': 'Steady Firebreathing', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",007/091,G,Common
Charmeleon,Charmeleon (Paldean Fates 8),[],Stage 1,Charmander,"{'Ability Name': 'Flare Veilヴ', 'Ability Desc': ""Prevent all effects of attacks used by your opponent's Pokémon done to this Pokémon. (Damage is not an effect.)""}",90,Fire,Water,,2,"[{'Move Cost': {'Fire': 2}, 'Move Name': 'Combustion', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",008/091,G,Uncommon
Magmar,Magmar (Paldean Fates 9),[],Basic,,,80,Fire,Water,,2,"[{'Move Cost': {'Fire': 1}, 'Move Name': 'Collect', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Draw a card.'}, {'Move Cost': {'Fire': 1, 'Colorless': 1}, 'Move Name': 'Steady Firebreathing', 'Move Damage': '40', 'Move Damage Modifier': None, 'Move Effect': ''}]",009/091,G,Common
Magmortar,Magmortar (Paldean Fates 10),[],Stage 1,Magmar,,140,Fire,Water,,3,"[{'Move Cost': {'Fire': 1}, 'Move Name': 'Flare', 'Move Damage': '40', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Fire': 2, 'Colorless': 1}, 'Move Name': 'Volcanic Heat', 'Move Damage': '170', 'Move Damage Modifier': None, 'Move Effect': ""During your next turn, this Pokémon can't attack.""}]",010/091,G,Rare
Numel,Numel (Paldean Fates 11),[],Basic,,,80,Fire,Water,,3,"[{'Move Cost': {'Fire': 1}, 'Move Name': 'Singe', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Burned.""}, {'Move Cost': {'Fire': 2, 'Colorless': 1}, 'Move Name': 'Heat Blast', 'Move Damage': '60', 'Move Damage Modifier': None, 'Move Effect': ''}]",011/091,G,Common
Camerupt,Camerupt (Paldean Fates 12),[],Stage 1,Numel,,130,Fire,Water,,3,"[{'Move Cost': {'Fire': 1}, 'Move Name': 'Super Singe', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Burned.""}, {'Move Cost': {'Fire': 2, 'Colorless': 1}, 'Move Name': 'Cinder Cannon', 'Move Damage': '120', 'Move Damage Modifier': ('add', '120'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'You may discard a  Energy from this Pokémon. If you do, this attack does 120 more damage.'}]",012/091,G,Uncommon
Heat Rotom,Heat Rotom (Paldean Fates 13),[],Basic,,,90,Fire,Water,,1,"[{'Move Cost': {'Fire': 2}, 'Move Name': 'Heat Tackle', 'Move Damage': '100', 'Move Damage Modifier': None, 'Move Effect': 'This Pokémon also does 40 damage to itself.'}]",013/091,G,Rare
Charcadet,Charcadet (Scarlet & Violet 40),[],Basic,,,70,Fire,Water,,1,"[{'Move Cost': {'Fire': 2, 'Colorless': 1}, 'Move Name': 'Heat Blast', 'Move Damage': '60', 'Move Damage Modifier': None, 'Move Effect': ''}]",014/091,G,Common
