Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Bulbasaur,Bulbasaur (Pokémon GO 1),[],Basic,,,70,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Vine Whip', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Razor Leaf', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",001/078,F,Common
Ivysaur,Ivysaur (Pokémon GO 2),[],Stage 1,Bulbasaur,,100,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Summoning Aroma', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.'}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Razor Leaf', 'Move Damage': '60', 'Move Damage Modifier': None, 'Move Effect': ''}]",002/078,F,Uncommon
Venusaur,Venusaur (Pokémon GO 3),[],Stage 2,Ivysaur,"{'Ability Name': 'Loopy Lasso', 'Ability Desc': ""Once during your turn, you may flip a coin. If heads, switch 1 of your opponent's Benched Pokémon with their Active Pokémon, and the new Active Pokémon is now Asleep and Poisoned.""}",180,Grass,Fire,,4,"[{'Move Cost': {'Grass': 2, 'Colorless': 2}, 'Move Name': 'Solar Beam', 'Move Damage': '130', 'Move Damage Modifier': None, 'Move Effect': ''}]",003/078,F,Rare Holo
Radiant Venusaur,Radiant Venusaur (Pokémon GO 4),[],Basic,,"{'Ability Name': 'Sunny Bloom', 'Ability Desc': 'Once at the end of your turn (after your attack), you may use this Ability. Draw cards until you have 4 cards in your hand.'}",150,Grass,Fire,,3,"[{'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Pollen Hazard', 'Move Damage': '90', 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.""}]",004/078,F,Rare Radiant
Alolan Exeggutor-V,Alolan Exeggutor V (Pokémon GO 5),['V'],Basic,,,240,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Growing Tall', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Flip a coin. If heads, search your deck for up to 5  Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.'}, {'Move Cost': {'Colorless': 3}, 'Move Name': 'Head Swing', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""This attack does 30 damage to 1 of your opponent's Pokémon for each  Energy attached to this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",005/078,F,Ultra-Rare Rare
Spinarak,Spinarak (Pokémon GO 6),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Poison Sting', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, your opponent's Active Pokémon is now Poisoned.""}]",006/078,F,Common
Ariados,Ariados (Pokémon GO 7),[],Stage 1,Spinarak,,110,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Poison StringUp', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned.""}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Absorb', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': 'Heal 50 damage from this Pokémon.'}]",007/078,F,Uncommon
Charmander,Charmander (Pokémon GO 8),[],Basic,,,60,Fire,Water,,1,"[{'Move Cost': {'Fire': 1}, 'Move Name': 'Tail on Fire', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for a  Energy card and attach it to this Pokémon. Then, shuffle your deck.'}]",008/078,F,Common
Charmeleon,Charmeleon (Pokémon GO 9),[],Stage 1,Charmander,,90,Fire,Water,,2,"[{'Move Cost': {'Fire': 1, 'Colorless': 1}, 'Move Name': 'Scratch', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Fire': 2, 'Colorless': 2}, 'Move Name': 'Flamethrower', 'Move Damage': '100', 'Move Damage Modifier': None, 'Move Effect': 'Discard a  Energy from this Pokémon.'}]",009/078,F,Uncommon
Charizard,Charizard (Pokémon GO 10),[],Stage 2,Charmeleon,"{'Ability Name': 'Burn Brightly', 'Ability Desc': ""Each basic  Energy attached to your Pokémon provides  Energy. You can't apply more than 1 Burn Brightly Ability at a time.""}",170,Fire,Water,,3,"[{'Move Cost': {'Fire': 2, 'Colorless': 2}, 'Move Name': 'Flare Blitz', 'Move Damage': '170', 'Move Damage Modifier': None, 'Move Effect': 'Discard all  Energy from this Pokémon.'}]",010/078,F,Rare Holo
