Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Exeggcute,Exeggcute (Brilliant Stars 1),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Ram', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Seed Bomb', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",001/172,F,Common
Exeggutor,Exeggutor (Brilliant Stars 2),[],Stage 1,Exeggcute,,140,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Mega Drain', 'Move Damage': '70', 'Move Damage Modifier': None, 'Move Effect': 'Heal 30 damage from this Pokémon.'}, {'Move Cost': {'Grass': 1, 'Colorless': 3}, 'Move Name': 'Seed Bomb', 'Move Damage': '130', 'Move Damage Modifier': None, 'Move Effect': ''}]",002/172,F,Uncommon
Shroomish,Shroomish (Brilliant Stars 3),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Headbutt', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",003/172,F,Common
Breloom,Breloom (Brilliant Stars 4),[],Stage 1,Shroomish,,110,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Spore Ball', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Asleep.""}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Powdery Uppercut', 'Move Damage': '130', 'Move Damage Modifier': None, 'Move Effect': 'You can use this attack only if this Pokémon used Spore Ball during your last turn.'}]",004/172,F,Rare
Tropius,Tropius (Brilliant Stars 5),[],Basic,,"{'Ability Name': 'Curative Bower', 'Ability Desc': ""All of your Pokémon that have  Energy attached can't be Confused, and if they are already Confused, they recover from that Special Condition.""}",110,Grass,Fire,,1,"[{'Move Cost': {'Grass': 2, 'Colorless': 1}, 'Move Name': 'Slicing Blade', 'Move Damage': '100', 'Move Damage Modifier': None, 'Move Effect': ''}]",005/172,F,Uncommon
Turtwig,Turtwig (Brilliant Stars 6),[],Basic,,,80,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Bite', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Headbutt Bounce', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",006/172,F,Common
Grotle,Grotle (Brilliant Stars 7),[],Stage 1,Turtwig,"{'Ability Name': 'SunDrenched Shell', 'Ability Desc': 'Once during your turn, you may search your deck for a  Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.'}",100,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Razor Leaf', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",007/172,F,Uncommon
Torterra,Torterra (Brilliant Stars 8),[],Stage 2,Grotle,,190,Grass,Fire,,4,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Evopress', 'Move Damage': '50', 'Move Damage Modifier': ('multiply', '50'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'This attack does 50 damage for each of your Evolution Pokémon in play.'}, {'Move Cost': {'Grass': 1, 'Colorless': 3}, 'Move Name': 'Hammer In', 'Move Damage': '160', 'Move Damage Modifier': None, 'Move Effect': ''}]",008/172,F,Rare Holo
Burmy,Burmy (Brilliant Stars 9),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Hang Down', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",009/172,F,Common
Wormadam,Wormadam (Brilliant Stars 10),[],Stage 1,Burmy,,110,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 2}, 'Move Name': ""Matron's Anger"", 'Move Damage': '30', 'Move Damage Modifier': ('add', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'This attack does 10 more damage for each Pokémon in your discard pile.'}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Leaf Drain', 'Move Damage': '80', 'Move Damage Modifier': None, 'Move Effect': 'Heal 30 damage from this Pokémon.'}]",010/172,F,Rare
Mothim,Mothim (Brilliant Stars 11),[],Stage 1,Burmy,,110,Grass,Lightning,Fighting,0,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Raid', 'Move Damage': '30', 'Move Damage Modifier': ('add', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'If this Pokémon evolved from Burmy during this turn, this attack does 90 more damage.'}, {'Move Cost': {'Colorless': 3}, 'Move Name': 'Gust', 'Move Damage': '80', 'Move Damage Modifier': None, 'Move Effect': ''}]",011/172,F,Rare
Cherubi,Cherubi (Brilliant Stars 12),[],Basic,,"{'Ability Name': 'Lively Fruit', 'Ability Desc': ""Prevent all effects of attacks from your opponent's Pokémon done to this Pokémon. (Damage is not an effect.)""}",40,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Leafage', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",012/172,E,Common
