Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Surskit,Surskit (Paradox Rift 1),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Triple Spin', 'Move Damage': '10', 'Move Damage Modifier': ('multiply', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip 3 coins. This attack does 10 damage for each heads.'}]",001/182,G,Common
Masquerain,Masquerain (Paradox Rift 2),[],Stage 1,Surskit,,100,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Daunting Eyes', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin until you get tails. For each heads, shuffle an Energy attached to your opponent's Active Pokémon into their deck.""}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Cutting Wind', 'Move Damage': '70', 'Move Damage Modifier': None, 'Move Effect': ''}]",002/182,G,Uncommon
Froslass-ex,Froslass ex (Paradox Rift 3),['ex'],Stage 1,Snorunt,"{'Ability Name': 'Evanescent', 'Ability Desc': 'If this Pokémon is in the Active Spot and is Knocked Out, flip a coin. If heads, your opponent takes 1 fewer Prize card.'}",250,Grass,Fire,,1,"[{'Move Cost': {'Water': 2}, 'Move Name': 'Frost Bullet', 'Move Damage': '140', 'Move Damage Modifier': None, 'Move Effect': ""This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",003/182,G,Double Rare
Pansage,Pansage (Paradox Rift 4),[],Basic,,,70,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Call for Family', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.'}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Leech Seed', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': 'Heal 10 damage from this Pokémon.'}]",004/182,G,Common
Simisage,Simisage (Paradox Rift 5),[],Stage 1,Pansage,"{'Ability Name': 'Monkey Trio', 'Ability Desc': 'If you have Simisage, Simisear, and Simipour in play, ignore all  Energy in the costs of attacks used by this Pokémon.'}",100,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Arm Thrust Needle', 'Move Damage': '100', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Pokémon that have an Ability, except any Simisage.""}]",005/182,G,Uncommon
Dwebble,Dwebble (Paradox Rift 6),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Beat', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",006/182,G,Common
Crustle,Crustle (Paradox Rift 7),[],Stage 1,Dwebble,,130,Grass,Fire,,3,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Confront', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Crag Bash', 'Move Damage': '100', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, this Pokémon takes 100 less damage from attacks from Evolution Pokémon (after applying Weakness and Resistance).""}]",007/182,G,Common
Bounsweet,Bounsweet (Paradox Rift 8),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Quick Blow', 'Move Damage': '10', 'Move Damage Modifier': ('add', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip a coin. If heads, this attack does 20 more damage.'}]",008/182,G,Common
Steenee,Steenee (Paradox Rift 9),[],Stage 1,Bounsweet,,90,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Spinning Attack', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 2}, 'Move Name': 'Double Spin', 'Move Damage': '40', 'Move Damage Modifier': ('multiply', '40'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip 2 coins. This attack does 40 damage for each heads.'}]",009/182,G,Uncommon
Blipbug,Blipbug (Paradox Rift 10),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Surprise Attack', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': 'Flip a coin. If tails, this attack does nothing.'}]",010/182,G,Common
Dottler,Dottler (Paradox Rift 11),[],Stage 1,Blipbug,,80,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Protect', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.""}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Zen Headbutt', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",011/182,G,Common
Orbeetle,Orbeetle (Paradox Rift 12),[],Stage 2,Dottler,,130,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Satellite Beam', 'Move Damage': '30', 'Move Damage Modifier': ('multiply', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""This attack does 30 damage for each Energy card in your opponent's discard pile.""}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Brain Shake', 'Move Damage': '100', 'Move Damage Modifier': None, 'Move Effect': ""Your opponent's Active Pokémon is now Confused.""}]",012/182,G,Uncommon
Nymble,Nymble (Paradox Rift 13),[],Basic,,,40,Grass,Fire,,0,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Gnaw', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}]",013/182,G,Common
Nymble,Nymble (Paradox Rift 14),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Flop', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",014/182,G,Common
