Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Venonat,Venonat (Silver Tempest 1),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Tackle', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",001/195,F,Common
Venomoth,Venomoth (Silver Tempest 2),[],Stage 1,Venonat,,90,Grass,Fire,,0,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Miracle Powder', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, choose a Special Condition. Your opponent's Active Pokémon is now affected by that Special Condition.""}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Gust', 'Move Damage': '70', 'Move Damage Modifier': None, 'Move Effect': ''}]",002/195,F,Uncommon
Spinarak,Spinarak (Silver Tempest 3),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Bug Bite', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",003/195,F,Common
Ariados,Ariados (Silver Tempest 4),[],Stage 1,Spinarak,"{'Ability Name': 'Hidden Threads', 'Ability Desc': ""Your opponent's Pokémon VSTAR's attacks cost  more. You can't apply more than 1 Hidden Threads Ability at a time.""}",90,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Pierce', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",004/195,F,Rare Holo
Sunkern,Sunkern (Silver Tempest 5),[],Basic,,,40,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Seed Bomb', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",005/195,F,Common
Sunflora,Sunflora (Silver Tempest 6),[],Stage 1,Sunkern,,90,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Bright Beam', 'Move Damage': '10', 'Move Damage Modifier': ('add', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'You may discard up to 3 Energy cards from your hand. This attack does 70 more damage for each card you discarded in this way.'}]",006/195,F,Uncommon
Serperior-V,Serperior V (Silver Tempest 7),['V'],Basic,,,210,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Noble Light', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Heal 30 damage from each Pokémon (both yours and your opponent's).""}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Solar Beam', 'Move Damage': '120', 'Move Damage Modifier': None, 'Move Effect': ''}]",007/195,F,Ultra-Rare Rare
Serperior-VSTAR,Serperior VSTAR (Silver Tempest 8),['VSTAR'],Pokémon VSTAREvolves from Serperior V,Serperior V,,270,Grass,Fire,,0,"[{'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Regal Blender', 'Move Damage': '190', 'Move Damage Modifier': None, 'Move Effect': 'You may move any amount of Energy from your Pokémon to your other Pokémon in any way you like.'}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Star Winder', 'Move Damage': '60', 'Move Damage Modifier': ('multiply', '60'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""This attack does 60 damage for each Energy attached to this Pokémon. Switch this Pokémon with 1 of your Benched Pokémon. (You can't use more than 1 VSTAR Power in a game.)""}]",008/195,F,Rare VSTAR
Petilil,Petilil (Silver Tempest 9),[],Basic,,,50,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Ram', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Flop', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",009/195,F,Common
Hisuian Lilligant,Hisuian Lilligant (Silver Tempest 10),[],Stage 1,Petilil,,120,Grass,Fire,,1,"[{'Move Cost': {}, 'Move Name': 'Swelling Scent', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Search your deck for up to 2  Energy cards and attach them to your Benched Pokémon in any way you like. Then, shuffle your deck.'}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Spiral Kick', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",010/195,F,Rare
