Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Pineco,Pineco (Scarlet & Violet 1),[],Basic,,,60,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Guard Press', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}]",001/198,G,Common
Heracross,Heracross (Scarlet & Violet 2),[],Basic,,,120,Grass,,,0,"[{'Move Cost': {}, 'Move Name': 'Superpowered Throw', 'Move Damage': '10', 'Move Damage Modifier': ('add', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""This attack does 30 more damage for each Error creating thumbnail: File missing in your opponent's Active Pokémon's Retreat Cost.""}, {'Move Cost': {}, 'Move Name': 'Horn Attack', 'Move Damage': '90', 'Move Damage Modifier': None, 'Move Effect': ''}]",002/198,G,Uncommon
Shroomish,Shroomish (Scarlet & Violet 3),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Absorb', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': 'Heal 10 damage from this Pokémon.'}]",003/198,G,Common
Breloom,Breloom (Scarlet & Violet 4),[],Stage 1,Shroomish,,110,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Mach Cross', 'Move Damage': '60', 'Move Damage Modifier': None, 'Move Effect': ''}]",004/198,G,Uncommon
Cacnea,Cacnea (Scarlet & Violet 5),[],Basic,,"{'Ability Name': 'Counterattack Quills', 'Ability Desc': ""If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon.""}",60,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Light Punch', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",005/198,G,Common
Cacturne,Cacturne (Scarlet & Violet 6),[],Stage 1,Cacnea,"{'Ability Name': 'Counterattack Quills', 'Ability Desc': ""If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon.""}",130,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 3}, 'Move Name': 'Spike Shot', 'Move Damage': '110', 'Move Damage Modifier': None, 'Move Effect': ''}]",006/198,G,Uncommon
Tropius,Tropius (Scarlet & Violet 7),[],Basic,,,100,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'FreshPicked Fruit create category\n', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Heal 60 damage from 1 of your Benched Pokémon.'}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Razor Leaf', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ''}]",007/198,G,Common
Scatterbug,Scatterbug (Scarlet & Violet 8),[],Basic,,"{'Ability Name': 'Adaptive Evolution', 'Ability Desc': 'This Pokémon can evolve during your first turn or the turn you play it.'}",30,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Tackle', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",008/198,G,Common
Spewpa,Spewpa (Scarlet & Violet 9),[],Stage 1,Scatterbug,"{'Ability Name': 'Adaptive Evolution', 'Ability Desc': 'This Pokémon can evolve during your first turn or the turn you play it.'}",70,Grass,Fire,,3,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Bug Bite', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",009/198,G,Common
Vivillon,Vivillon (Scarlet & Violet 10),[],Stage 2,Spewpa,,120,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Miracle Powder', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, choose a Special Condition. Your opponent's Active Pokémon is now affected by that Special Condition.""}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Bug Buzz', 'Move Damage': '110', 'Move Damage Modifier': None, 'Move Effect': ''}]",010/198,G,Uncommon
Skiddo,Skiddo (Scarlet & Violet 11),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Vine Whip', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Smash Kick', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",011/198,G,Common
Gogoat,Gogoat (Scarlet & Violet 12),[],Stage 1,Skiddo,,130,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 2}, 'Move Name': 'Rising Lunge', 'Move Damage': '30', 'Move Damage Modifier': ('add', '30'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip a coin. If heads, this attack does 30 more damage.'}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Solar Beam', 'Move Damage': '110', 'Move Damage Modifier': None, 'Move Effect': ''}]",012/198,G,Common
Sprigatito,Sprigatito (Scarlet & Violet 13),[],Basic,,,70,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Scratch', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Leafage', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",013/198,G,Common
Floragato,Floragato (Scarlet & Violet 14),[],Stage 1,Sprigatito,,90,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Slash', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Leaf Step', 'Move Damage': '60', 'Move Damage Modifier': None, 'Move Effect': ''}]",014/198,G,Uncommon
Meowscarada,Meowscarada (Scarlet & Violet 15),[],Stage 2,Floragato,,160,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Trick Cape create category\n', 'Move Damage': '40', 'Move Damage Modifier': None, 'Move Effect': ""You may put an Energy attached to your opponent's Active Pokémon into their hand.""}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Flower Blast create category\n', 'Move Damage': '130', 'Move Damage Modifier': None, 'Move Effect': ''}]",015/198,G,Rare
Tarountula,Tarountula (Scarlet & Violet 16),[],Basic,,,40,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'String Haul create category\n', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, switch in 1 of your opponent's Benched Pokémon to the Active Spot.""}, {'Move Cost': {'Grass': 1}, 'Move Name': 'Bug Bite', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}]",016/198,G,Common
