Name,Name w/ Set,Card Type,Evolution Stage,Previous Evolution,Ability,HP,Type,Weakness,Resistance,Retreat Cost,Moves,Card No,Card Mark,Card Rarity
Tangela,Tangela (Twilight Masquerade 1),[],Basic,,,80,Grass,Fire,,2,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Gentle Slap', 'Move Damage': '10', 'Move Damage Modifier': None, 'Move Effect': ''}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Vine Slap', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",001/167,H,Common
Tangrowth,Tangrowth (Twilight Masquerade 2),[],Stage 1,Tangela,"{'Ability Name': 'Thicket Body', 'Ability Desc': 'This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).'}",150,Grass,Fire,,4,"[{'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Loom Over', 'Move Damage': '150', 'Move Damage Modifier': ('sub', '150'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'This attack does 10 less damage for each damage counter on this Pokémon.'}]",002/167,H,Common
Pinsir,Pinsir (Twilight Masquerade 3),[],Basic,,,110,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Slow Crunch', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""Discard all Energy from this Pokémon. At the end of your opponent's next turn, the Defending Pokémon will be Knocked Out.""}, {'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Superpowered Horns', 'Move Damage': '100', 'Move Damage Modifier': None, 'Move Effect': ''}]",003/167,H,Common
Spinarak,Spinarak (Twilight Masquerade 4),[],Basic,,,60,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Bug Bite', 'Move Damage': '20', 'Move Damage Modifier': None, 'Move Effect': ''}]",004/167,H,Common
Ariados,Ariados (Twilight Masquerade 5),[],Stage 1,Spinarak,"{'Ability Name': 'Big Net', 'Ability Desc': ""Your opponent's Active Evolution Pokémon's Retreat Cost is  more.""}",90,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'String Bind', 'Move Damage': '10', 'Move Damage Modifier': ('add', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""This attack does 30 more damage for each  in your opponent's Active Pokémon's Retreat Cost.""}]",005/167,H,Uncommon
Sunkern,Sunkern (Twilight Masquerade 6),[],Basic,,,40,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Bullet Seed', 'Move Damage': '10', 'Move Damage Modifier': ('multiply', '10'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'Flip 4 coins. This attack does 10 damage for each heads.'}]",006/167,H,Common
Sunflora,Sunflora (Twilight Masquerade 7),[],Stage 1,Sunkern,,100,Grass,Fire,,1,"[{'Move Cost': {'Grass': 1}, 'Move Name': 'Redirected Sunlight', 'Move Damage': '60', 'Move Damage Modifier': ('multiply', '60'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': ""This attack does 60 damage for each  Energy attached to all of your opponent's Pokémon.""}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Mega Drain', 'Move Damage': '50', 'Move Damage Modifier': None, 'Move Effect': 'Heal 30 damage from this Pokémon.'}]",007/167,H,Uncommon
Heracross,Heracross (Twilight Masquerade 8),[],Basic,,,120,Grass,Fire,,2,"[{'Move Cost': {'Grass': 1, 'Colorless': 2}, 'Move Name': 'Body Slam', 'Move Damage': '60', 'Move Damage Modifier': None, 'Move Effect': ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}, {'Move Cost': {'Grass': 1, 'Colorless': 3}, 'Move Name': 'Seismic Toss', 'Move Damage': '130', 'Move Damage Modifier': None, 'Move Effect': ''}]",008/167,H,Uncommon
Volbeat,Volbeat (Twilight Masquerade 9),[],Basic,,,70,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Quick Sign', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'If you go first, you can use this attack during your first turn. Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.'}, {'Move Cost': {'Colorless': 2}, 'Move Name': 'Coordinated Strike', 'Move Damage': '20', 'Move Damage Modifier': ('add', '20'), 'Move Damage Maximum Procs': 'TOFILL', 'Move Damage Modifier Template': 'TOFILL', 'Move Effect': 'If Illumise is on your Bench, this attack does 60 more damage.'}]",009/167,H,Common
Illumise,Illumise (Twilight Masquerade 10),[],Basic,,,70,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Slowing Perfume', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': ""You can use this attack only if you go second, and only during your first turn. Shuffle 1 of your opponent's Benched Pokémon and all attached cards into their deck.""}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Glide', 'Move Damage': '30', 'Move Damage Modifier': None, 'Move Effect': ''}]",010/167,H,Common
Leafeon,Leafeon (Twilight Masquerade 11),[],Stage 1,Eevee,,120,Grass,Fire,,1,"[{'Move Cost': {'Colorless': 1}, 'Move Name': 'Leaflet Blessings', 'Move Damage': None, 'Move Damage Modifier': None, 'Move Effect': 'Attach a Basic  Energy card from your hand to 1 of your Benched Pokémon. If you do, heal all damage from that Pokémon.'}, {'Move Cost': {'Grass': 1, 'Colorless': 1}, 'Move Name': 'Solar Beam', 'Move Damage': '70', 'Move Damage Modifier': None, 'Move Effect': ''}]",011/167,H,Uncommon
